records/code,records/examType,records/specialCat,records/positions,records/admissions,records/baseFirst,records/baseLast,records/year,records/minimumBase
112,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,10,,16618,15735,2018,
112,"10% ΓΕΛ, ΕΠΑΛΒ 2016","10% ΓΕΛ,ΕΠΑΛΒ ΓΕΝ. ΣΕΙΡΑ 2016",7,,15333,13580,2018,
112,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,2,,11369,10878,2018,
112,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,153,,19026,15853,2018,
113,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,14,,16446,14479,2018,
113,"10% ΓΕΛ, ΕΠΑΛΒ 2016","10% ΓΕΛ,ΕΠΑΛΒ ΓΕΝ. ΣΕΙΡΑ 2016",10,,15095,9902,2018,
113,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,2,,6970,6299,2018,
113,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,220,,18257,13644,2018,
114,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,19,,15747,13311,2018,
114,"10% ΓΕΛ, ΕΠΑΛΒ 2016","10% ΓΕΛ,ΕΠΑΛΒ ΓΕΝ. ΣΕΙΡΑ 2016",12,,14253,10247,2018,
114,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,3,,6634,6066,2018,
114,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,276,,17988,12707,2018,
115,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,11,,16575,13071,2018,
115,"10% ΓΕΛ, ΕΠΑΛΒ 2016","10% ΓΕΛ,ΕΠΑΛΒ ΓΕΝ. ΣΕΙΡΑ 2016",8,,16963,8839,2018,
115,ΓΕΛ ΕΣΠΕΡΙΝΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΕΣΠ.,2,,5760,5699,2018,
115,ΓΕΛ ΗΜΕΡΗΣΙΑ,ΓΕΛ ΓΕΝIKH ΣΕΙΡΑ ΗΜ.,172,,18354,12540,2018,
116,10% ΓΕΛ 2017 ΗΜΕΡΗΣΙΑ,10% ΓΕΛ ΓΕΝ. ΣΕΙΡΑ 2017,11,,15845,13136,2018,
116,"10% ΓΕΛ, ΕΠΑΛΒ 2016","10% ΓΕΛ,ΕΠΑΛΒ ΓΕΝ. ΣΕΙΡΑ 2016",8,,17453,10011,2018,
